Country Name,Abbreviation,Year,Domestic Health Expenditure
Afghanistan,AFG,2000,NA
Afghanistan,AFG,2001,NA
Afghanistan,AFG,2002,0.1408732
Afghanistan,AFG,2003,1.2402778
Afghanistan,AFG,2004,1.1299019
Afghanistan,AFG,2005,1.270819
Afghanistan,AFG,2006,1.3045715
Afghanistan,AFG,2007,1.7679117
Afghanistan,AFG,2008,2.3322627
Afghanistan,AFG,2009,2.2602742
Afghanistan,AFG,2010,2.4630628
Afghanistan,AFG,2011,2.8509602
Afghanistan,AFG,2012,2.2334821
Afghanistan,AFG,2013,2.7708626
Afghanistan,AFG,2014,2.9269955
Afghanistan,AFG,2015,3.0467866
Afghanistan,AFG,2016,3.0562878
Afghanistan,AFG,2017,3.3482599
Afghanistan,AFG,2018,2.5780072
Albania,ALB,2000,30.8303146
Albania,ALB,2001,34.5555954
Albania,ALB,2002,36.0775375
Albania,ALB,2003,47.6297722
Albania,ALB,2004,65.2041168
Albania,ALB,2005,69.5259628
Albania,ALB,2006,74.3312531
Albania,ALB,2007,85.718277
Albania,ALB,2008,97.4361725
Albania,ALB,2009,94.7181854
Albania,ALB,2010,96.2378006
Albania,ALB,2011,104.124527
Albania,ALB,2012,103.7971802
Albania,ALB,2013,113.4170151
Albania,ALB,2014,118.4573822
Albania,ALB,2015,107.5986404
Albania,ALB,2016,115.2123566
Albania,ALB,2017,120.7582398
Albania,ALB,2018,148.4365692
Algeria,DZA,2000,44.3166542
Algeria,DZA,2001,50.9212646
Algeria,DZA,2002,50.0327301
Algeria,DZA,2003,58.0907593
Algeria,DZA,2004,66.0066528
Algeria,DZA,2005,69.7855301
Algeria,DZA,2006,79.9058227
Algeria,DZA,2007,105.3551941
Algeria,DZA,2008,148.9477387
Algeria,DZA,2009,147.5652008
Algeria,DZA,2010,159.3152466
Algeria,DZA,2011,202.9661255
Algeria,DZA,2012,244.723526
Algeria,DZA,2013,235.8394013
Algeria,DZA,2014,258.9739075
Algeria,DZA,2015,205.4262695
Algeria,DZA,2016,176.5028992
Algeria,DZA,2017,170.1995087
Algeria,DZA,2018,168.4496613
American Samoa,ASM,2000,NA
American Samoa,ASM,2001,NA
American Samoa,ASM,2002,NA
American Samoa,ASM,2003,NA
American Samoa,ASM,2004,NA
American Samoa,ASM,2005,NA
American Samoa,ASM,2006,NA
American Samoa,ASM,2007,NA
American Samoa,ASM,2008,NA
American Samoa,ASM,2009,NA
American Samoa,ASM,2010,NA
American Samoa,ASM,2011,NA
American Samoa,ASM,2012,NA
American Samoa,ASM,2013,NA
American Samoa,ASM,2014,NA
American Samoa,ASM,2015,NA
American Samoa,ASM,2016,NA
American Samoa,ASM,2017,NA
American Samoa,ASM,2018,NA
Andorra,AND,2000,852.4205322
Andorra,AND,2001,877.0269775
Andorra,AND,2002,1020.440796
Andorra,AND,2003,1174.121948
Andorra,AND,2004,1279.092163
Andorra,AND,2005,1495.56604
Andorra,AND,2006,1309.379395
Andorra,AND,2007,1451.707397
Andorra,AND,2008,1851.513306
Andorra,AND,2009,1858.548584
Andorra,AND,2010,1866.292114
Andorra,AND,2011,1759.515869
Andorra,AND,2012,1574.375732
Andorra,AND,2013,1627.334473
Andorra,AND,2014,1725.140869
Andorra,AND,2015,1549.631226
Andorra,AND,2016,1631.386719
Andorra,AND,2017,1789.861206
Andorra,AND,2018,1916.984497
Angola,AGO,2000,7.5666442
Angola,AGO,2001,13.1984739
Angola,AGO,2002,11.4176969
Angola,AGO,2003,14.4062414
Angola,AGO,2004,21.176775
Angola,AGO,2005,24.3273697
Angola,AGO,2006,37.540863
Angola,AGO,2007,53.7603493
Angola,AGO,2008,87.2683563
Angola,AGO,2009,81.2066421
Angola,AGO,2010,60.0645866
Angola,AGO,2011,79.0730514
Angola,AGO,2012,79.7316513
Angola,AGO,2013,89.0790558
Angola,AGO,2014,71.2915039
Angola,AGO,2015,51.4305611
Angola,AGO,2016,41.9865074
Angola,AGO,2017,52.9125175
Angola,AGO,2018,36.7372208
Antigua and Barbuda,ATG,2000,296.5008545
Antigua and Barbuda,ATG,2001,333.0480042
Antigua and Barbuda,ATG,2002,321.4463501
Antigua and Barbuda,ATG,2003,361.0654907
Antigua and Barbuda,ATG,2004,339.9127808
Antigua and Barbuda,ATG,2005,348.5961914
Antigua and Barbuda,ATG,2006,343.2663269
Antigua and Barbuda,ATG,2007,356.521759
Antigua and Barbuda,ATG,2008,342.0675354
Antigua and Barbuda,ATG,2009,324.6600952
Antigua and Barbuda,ATG,2010,409.275238
Antigua and Barbuda,ATG,2011,395.1112671
Antigua and Barbuda,ATG,2012,409.4112549
Antigua and Barbuda,ATG,2013,398.8714294
Antigua and Barbuda,ATG,2014,469.043335
Antigua and Barbuda,ATG,2015,450.9436035
Antigua and Barbuda,ATG,2016,434.7643127
Antigua and Barbuda,ATG,2017,421.226471
Antigua and Barbuda,ATG,2018,485.8211975
Arab World,ARB,2000,62.5674471
Arab World,ARB,2001,67.0122036
Arab World,ARB,2002,65.6965218
Arab World,ARB,2003,64.5246014
Arab World,ARB,2004,70.3881499
Arab World,ARB,2005,79.1642857
Arab World,ARB,2006,93.1863821
Arab World,ARB,2007,108.0280447
Arab World,ARB,2008,125.5511941
Arab World,ARB,2009,146.6847085
Arab World,ARB,2010,143.3889495
Arab World,ARB,2011,170.3206333
Arab World,ARB,2012,180.9066188
Arab World,ARB,2013,202.3832433
Arab World,ARB,2014,224.1221262
Arab World,ARB,2015,204.1099285
Arab World,ARB,2016,199.5019386
Arab World,ARB,2017,220.5745504
Arab World,ARB,2018,223.5176627
Argentina,ARG,2000,387.9216003
Argentina,ARG,2001,370.28302
Argentina,ARG,2002,122.1231384
Argentina,ARG,2003,143.5033264
Argentina,ARG,2004,161.4289246
Argentina,ARG,2005,201.8656311
Argentina,ARG,2006,239.7603302
Argentina,ARG,2007,310.6729431
Argentina,ARG,2008,411.3068848
Argentina,ARG,2009,471.0890503
Argentina,ARG,2010,580.7029419
Argentina,ARG,2011,728.916687
Argentina,ARG,2012,854.2635498
Argentina,ARG,2013,904.1334839
Argentina,ARG,2014,841.4892578
Argentina,ARG,2015,1021.710449
Argentina,ARG,2016,716.473877
Argentina,ARG,2017,966.7296753
Argentina,ARG,2018,692.6174316
Armenia,ARM,2000,5.9452086
Armenia,ARM,2001,9.2986164
Armenia,ARM,2002,9.1782818
Armenia,ARM,2003,11.2207966
Armenia,ARM,2004,15.4247751
Armenia,ARM,2005,24.3014259
Armenia,ARM,2006,34.2369575
Armenia,ARM,2007,50.6645126
Armenia,ARM,2008,59.6869202
Armenia,ARM,2009,54.24823
Armenia,ARM,2010,54.2710495
Armenia,ARM,2011,58.9820175
Armenia,ARM,2012,58.1058693
Armenia,ARM,2013,52.8002205
Armenia,ARM,2014,60.0117912
Armenia,ARM,2015,58.0849915
Armenia,ARM,2016,58.8106422
Armenia,ARM,2017,53.7270927
Armenia,ARM,2018,52.1101341
Aruba,ABW,2000,NA
Aruba,ABW,2001,NA
Aruba,ABW,2002,NA
Aruba,ABW,2003,NA
Aruba,ABW,2004,NA
