country_standard,gdp,gini,gdp_percap,gdp_percap_ppp_covid,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,median_age,aged_65_older
Afghanistan,19291104007.8299,NA,507.103431871987,2156.41948202725,2.57800722,9.64153671,18.6,2.581
Albania,15279183289.9372,33.2,5353.2448564014,14648.2674019058,148.43656921,376.50137329,38,13.188
Algeria,171091289782.245,27.6,3973.96407191565,12019.9283559331,168.44966125,633.79882813,29.1,6.211
Andorra,3154057987.23833,NA,40886.3911648431,NA,1916.98449707,2450.40795898,NA,NA
Angola,88815697793.303,51.3,2790.72661520665,6965.51137380329,36.73722076,69.06031799,16.8,2.405
Antigua & Barbuda,1661962962.96296,NA,17112.8211347326,22879.7660938046,485.82119751,780.36248779,32.1,6.933
Argentina,445445177459.426,41.4,9912.28180859803,23040.2879526544,692.61743164,1221.78161621,31.9,11.198
Armenia,13672802157.8324,34.4,4622.73349328671,14257.9624870448,52.11013412,127.96128082,35.7,11.232
Australia,1396567014733.23,34.4,55060.3261005013,53381.4190051283,3747.02880859,3456.62744141,37.9,15.504
Austria,445075391688.156,29.7,50137.6627762476,60418.0106125251,3892.83129883,4296.74755859,44.4,19.202
Azerbaijan,48047647058.8235,NA,4793.58701966989,15041.2572872965,43.97441864,168.06996155,32.4,6.018
Bahamas,13578800000,NA,34863.7420984795,38742.5457547658,1011.08203125,1006.99780273,34.3,8.996
Bahrain,38574069148.9362,NA,23503.977126673,47002.5493359525,584.89892578,1150.37976074,32.4,2.372
Bangladesh,302571254131.135,32.4,1855.73982408046,4964.09138891893,7.11578894,18.61657524,27.5,5.098
Barbados,5209000000,NA,18148.2449264001,16330.8876795581,521.43029785,539.00128174,39.8,14.952
Belarus,63080457022.6599,25.2,6663.29529282582,19997.0577636148,250.84080505,797.38653564,40.3,14.799
Belgium,533097455834.509,27.4,46420.6637668061,56348.5136836421,3723.06762695,4096.09082031,41.8,18.571
Belize,1879613600,NA,4815.1637107951,7314.63199191617,196.18196106,347.32620239,25,3.853
