country_standard,mean_transparency_index,mean_budget_transparency_index,mean_accountability_index,mean_trust_index,mean_corruption_index,mean_effectiveness_index,mean_budget_participation_index,mean_pandemic_dem_violation_index,mean_covid_index
Afghanistan,0.19607113225580125,0.020833333333333332,0.6250594830795303,NA,0.9257345351685594,0.15520997373075618,0.0625,0.2142857142857143,0.01265475266111037
Albania,0.5513489831125987,0.041666666666666664,0.7313181129103603,NA,0.7079656304342028,0.48074751854665854,0.03125,0.35714285714285715,0.5255292575963615
Algeria,0.1691869595773262,0,0.44943429763735265,0.34052213762243033,0.7105436470009282,0.3198108684732259,0,0.4285714285714286,0.011142821113744174
American Samoa,NA,0,NA,NA,NA,NA,0,NA,NA
Andorra,0.9416751070023047,0,NA,0.4282668406298028,NA,NA,0,NA,0.9244443999844395
Angola,0.1499815374823335,0,0.4225641780016824,NA,0.866522107413495,0.29925734385134345,0,0.35714285714285715,0.019781656452434866
Anguilla,NA,0,NA,NA,NA,NA,0,NA,NA
Antigua & Barbuda,0.859200596312422,0,NA,NA,NA,NA,0,NA,0.009215724887080147
Argentina,0.8358464077924547,0.041666666666666664,0.7825556160328587,0.20502660931806774,0.6797928543998883,0.5232223667546847,0.03125,0.2142857142857143,0.5147007382448027
Armenia,0.4629203416948657,0.041666666666666664,0.565523001680538,0.2558756777637577,0.7110185257623415,0.4171402339674713,0,0.2142857142857143,0.0013813774824269706
Aruba,NA,0,NA,NA,NA,NA,0,NA,NA
Australia,0.9575276007273793,0.0625,0.943639233239772,0.42047326307368194,0.1388002993969143,0.8908591593649742,0.03125,0.07142857142857144,0.74593525085204
Austria,0.9564711457174482,0,0.8858472270235542,NA,0.20778978890639188,0.8356079761767327,0,0,0.8676169153923979
Azerbaijan,0.1131713338653096,0.041666666666666664,0.2873581123024247,0.6115733235287941,0.8010864112475097,0.2985115291407323,0.03125,0.28571428571428575,0.004258503873842937
Bahamas,0.9043806664741729,0,NA,NA,0.29885854446199006,NA,0,NA,0.0037736075259616943
Bahrain,0.21201006025805944,0,0.36760066764516874,NA,0.5417770740831377,0.46486538206345096,0,NA,0.9095035431090638
Bangladesh,0.4757407900802968,0,0.5099926361463589,0.6825507888861391,0.8032291356724464,0.4507099613886003,0,0.35714285714285715,0.26975110535993724
Barbados,0.9209059851791499,0,0.818229704643739,NA,0.26381178575402014,NA,0,NA,0.008476077098974662
Belarus,0.09790094062769779,0,0.308136906323014,0.4621749305597086,0.7069162432013095,0.3322457427154083,0,0.5,0.7246399928751269
Belgium,0.9535761782538187,0,0.915696624342018,NA,0.23323032292254622,0.8387369917425882,0,0.14285714285714288,0.7862553268355245
Belize,0.8601920963570477,0,NA,NA,0.6928518505786416,NA,0,NA,0.0024988152311623017
Benin,0.8198221342099546,0,0.7900164308770785,NA,0.7035921060183211,0.5116396962352042,0,0.35714285714285715,0.027004079321504382
Bermuda,NA,0,NA,NA,NA,NA,0,NA,NA
Bhutan,0.4453277188901412,0,0.6918522941362244,NA,0.3586555336345943,0.5845840547046334,0,NA,0.7980587174647027
Bolivia,0.5323982647348763,0,0.659014128310589,0.18654618845537208,0.7239135168708527,0.4656028930893838,0,0,0.38961337612601266
Bosnia & Herzegovina,0.5260739076170531,0,0.6816012279729309,NA,0.6721126178354544,0.3559362476722755,0.03125,0.5,0.5781427978056856
Botswana,0.843143513415086,0,0.8004200675293031,NA,0.3835460231837829,0.6812508234625901,0,0,0.0076274822870421735
Brazil,0.84445969243683106,0.0625,0.8594995542698133,0.24733972090812947,0.6365015072972231,0.6015220333054461,0.0625,0.4285714285714286,0.29880648701499585
British Virgin Islands,NA,0,NA,NA,NA,NA,0,NA,NA
Brunei,0.18675896439253756,0,NA,NA,0.4145786973702561,NA,0,NA,0.025071263729880004
Bulgaria,0.8420753174918283,0.041666666666666664,0.8012604271901954,0.2563002608301425,0.6258175264686004,0.5756241271821781,0.03125,0.28571428571428575,0.5980161542535112
Burkina Faso,0.5097199046584361,0.020833333333333332,0.7140315699607352,0.3870008872214998,0.6583873684403039,0.35846715707719573,0.03125,0.14285714285714288,0.02434003428964234
Burundi,0.31099202536143994,0,0.4210370875705073,NA,0.8608332706463911,0.23889995213077733,0,0.35714285714285715,0.11446852187191275
Cambodia,0.15821286479358243,0,0.42793545829492474,NA,0.8522997766785608,0.4755011099454909,0,0.2142857142857143,NA
Cameroon,0.15662474538144794,0,0.5123177971366497,NA,0.8196988139159305,0.3567512500655052,0,0.5,0.017095491698515493
Canada,0.9620172802757931,0.041666666666666664,0.8745843498118591,0.42878382652055536,0.13028820769889327,0.9317192992504651,0.03125,0,0.712766834978679
Cape Verde,0.9001877964688736,0,0.8729070354269812,NA,0.41648565511419616,0.6769280697675503,0,NA,0.004463725264690043
Cayman Islands,NA,0,NA,NA,NA,NA,0,NA,NA
Central African Republic,0.2855852148472564,0,0.5783825578984026,NA,0.8304884182298256,0.12454336279327509,0,0.35714285714285715,0.01889583881830937
Chad,0.11439051757956861,0,0.3909264583250643,NA,0.8815010994700303,0.10353507289600838,0,0.4285714285714286,0.026740854778140036
Channel Islands,NA,0,NA,NA,NA,NA,0,NA,NA
Chile,0.9151131929116713,0.041666666666666664,0.9322673734736613,0.28053302363039256,0.27847069387308965,0.8260580726878513,0.0625,0.14285714285714288,0.7089441965208678
China,0.08400146874748611,0,0.22399098396724648,0.7679317948799772,0.6645198073910368,0.5287027688394229,0,0.5,0.5333257675182993
Colombia,0.5321872541547762,0.041666666666666664,0.7524250093346452,0.19453392645646334,0.6561179877970851,0.5917016608734214,0,0.14285714285714288,0.593347205079714
Comoros,0.4884421905306202,0,0.6282251386963823,NA,0.7740813521146532,0.2049097099359826,0,NA,0.00842028754751854
Congo - Brazzaville,0.16236788337148644,0,0.4026341793256154,NA,0.8486907769706207,0.27681456807101756,0,0.28571428571428575,0.015695396746325908
Congo - Kinshasa,0.11453598463686279,0,0.49229478749192584,NA,0.8752386730987098,NA,0,0.6428571428571429,0.026048636548851752
Cook Islands,NA,0,NA,NA,NA,NA,0,NA,NA
Costa Rica,0.9166771322677603,0.041666666666666664,0.9576975341965398,NA,0.45616430959906956,0.6974199456328172,0.0625,0.2142857142857143,0.3685413199675757
Côte d’Ivoire,0.319421244093211,0.041666666666666664,0.6418801415037927,NA,0.7648686361613191,0.29590101147252496,0.0625,0.2142857142857143,0.209796460232461
Croatia,0.8485526677539735,0.041666666666666664,0.8112082086556613,NA,0.563185077148871,0.6288602770799996,0.0625,0.4285714285714286,0.6493512632950033
Cuba,0.08672505356498969,0,0.26554363074243265,NA,0.5552639809822755,0.4623165286755533,0,0.4285714285714286,0.5878981052723364
Curaçao,NA,0,NA,NA,NA,NA,0,NA,NA
Cyprus,0.9143840563827217,0,0.8390486578878981,0.4712673587696753,0.3743132995800156,0.7191254360848826,0,NA,0.9413456671701718
Czechia,0.9084918631224994,0.020833333333333332,0.8722494152761321,NA,0.49156125262518374,0.7191606077751009,0.03125,0.2142857142857143,2.0654113606580438e-4
Denmark,0.9784314791571764,0.041666666666666664,0.9807068956577543,NA,0.04341823833397286,0.9582423259937768,0,0,0.9720807909987778
Djibouti,0.21011044744330468,0,0.4106909651141992,NA,0.7139743672048541,0.2524150115756875,0,NA,0.009597389902475847
Dominica,0.9034401605094544,0,NA,NA,0.4383142988230993,NA,0,NA,NA
Dominican Republic,0.7324857411162987,0.041666666666666664,0.6405250631322453,NA,0.7507989855428606,0.4751322710471577,0.0625,0,0.48839612954200884
Ecuador,0.5116236880287522,0.020833333333333332,0.6348385531036261,0.2996017264107755,0.7430703031882879,0.43749669156149934,0.03125,0.2142857142857143,0.3738792695075761
Egypt,0.15837139266158773,0,0.44030594716321136,0.2193379813801321,0.7213228286070884,0.36918130757754997,0,0.5,0.011106478961758981
El Salvador,0.7962851066762464,0.0392156862745098,0.6962353899162833,NA,0.6545372063972131,0.5318684047391626,0.029411764705882353,0.7857142857142858,0.4991447153274117
Equatorial Guinea,0.050368724547087095,0,0.3016385556872673,NA,0.9062110493581162,0.1609489408181137,0,NA,0.010395125757403824
Eritrea,0.01827155870667626,0,0.0217795869039418,NA,0.796045388863994,0.22111740217992823,0,0.4285714285714286,0.03380245223377501
Estonia,0.9264529509377755,0.041666666666666664,0.9273365822063535,0.4452440381247092,0.3073950692119291,0.7622876618694987,0,NA,0.7608175053950471
Eswatini,0.12101732661736418,0,0.409804044131613,NA,0.6653321662878031,0.3399866975282044,0,NA,0.0040282235916659125
Ethiopia,0.21661830399870907,0,0.4005399640792821,0.3975682448706662,0.7212470651518206,0.3939069475349072,0,0.28571428571428575,0.23414159840067125
Faroe Islands,NA,0,NA,NA,NA,NA,0,NA,NA
Fiji,0.4799215555651218,0,0.46685433711878815,NA,NA,0.43850172148028405,0,NA,0.34802588229817744
Finland,0.9743602508920216,0.041666666666666664,0.943098563761327,NA,0.059611835379523394,0.9552625211281875,0.0625,0,0.7433145819951729
France,0.9351194893473268,0.0625,0.8856123308558745,0.27585478948337994,0.27017313700532747,0.7854409563411349,0.0625,0.14285714285714288,0.001225865246262682
French Guiana,NA,0,NA,NA,NA,NA,0,NA,NA
French Polynesia,NA,0,NA,NA,NA,NA,0,NA,NA
Gabon,0.24327190201910265,0,0.5432417573726787,NA,0.7461198119598901,0.2944053595433098,0,0.35714285714285715,0.01152052769385962
