country_standard,gdp,gdp_per_capita,gini_2020,percap_domestic_health_expenditure,median_age,aged_65_older
Afghanistan,19291104007.8299,1803.987,0.655,2.57800722,18.6,2.581
Albania,15279183289.9372,11803.431,0.637,148.4365692,38,13.188
Algeria,171091289782.245,13913.839,0.749,168.4496613,29.1,6.211
Andorra,3154057987.23833,NA,NA,1916.984497,NA,NA
Angola,88815697793.30301,5819.495,0.731,36.73722076,16.8,2.405
Antigua & Barbuda,1661962962.96296,21490.943,0.823,485.8211975,32.1,6.933
Argentina,445445177459.426,18933.907,0.768,692.6174316,31.9,11.198
Armenia,13672802157.8324,8787.58,0.663,52.11013412,35.7,11.232
Australia,1396567014733.23,44648.71,0.656,3747.028809,37.9,15.504
Austria,445075391688.156,45436.686,0.739,3892.831299,44.4,19.202
Azerbaijan,48047647058.8235,15847.419,0.654,43.97441864,32.4,6.018
Bahamas,13578800000,27717.847,0.828,1011.082031,34.3,8.996
Bahrain,38574069148.9362,43290.705,0.747,584.8989258,32.4,2.372
Bangladesh,302571254131.135,3523.984,0.678,7.11578894,27.5,5.098
Barbados,5209000000,16978.068,0.778,521.4302979,39.8,14.952
Belarus,63080457022.6599,17167.967,0.621,250.8408051,40.3,14.799
Belgium,533097455834.509,42658.576,0.603,3723.067627,41.8,18.571
Belize,1879613600,7824.362,0.803,196.1819611,25,3.853
Benin,14390709094.9386,2064.236,0.707,6.09126854,18.8,3.244
Bhutan,2530547157.56678,8708.597,NA,81.72798157,28.6,4.885
Bolivia,40895322843.7851,6885.829,0.764,159.1311646,25.4,6.704
Bosnia & Herzegovina,20164193806.88,11713.895,0.642,376.8726807,42.5,16.569
Botswana,18340480936.0444,15807.374,0.8,374.1790772,25.8,3.941
Brazil,1839758040765.62,14103.452,0.849,353.5392151,33.5,8.552
Brunei,13469422958.5105,71809.251,0.787,726.069397,32.4,4.591
Bulgaria,68558815111.6199,18563.307,0.659,397.6374817,44.7,20.801
Burkina Faso,15990803569.9961,1703.102,0.688,17.10899734,17.6,2.409
Burundi,3012334881.64057,702.225,0.681,5.90400934,17.5,2.562
Cambodia,27089389786.979,3645.07,0.718,19.26422501,25.6,4.412
Cameroon,39007354359.2798,3364.926,0.743,3.22656012,18.8,3.165
Canada,1736425629519.96,44017.591,0.728,3670.843262,41.4,16.984
Cape Verde,1981845740.35828,6222.554,NA,117.2347031,25.7,4.46
Cayman Islands,5517361237.63423,49903.029,NA,NA,NA,NA
Central African Republic,2220307368.69593,661.24,0.777,3.36062503,18.3,3.655
Chad,11314951342.7807,1768.153,0.73,4.97096872,16.7,2.486
Chile,282318159744.65,22767.037,0.798,740.006958,35.4,11.087
China,14342903006431.3,15308.712,0.702,282.6797791,38.7,10.641
Colombia,323615979418.651,13254.949,0.77,367.4957886,32.2,7.646
Comoros,1165839927.06327,1413.89,0.783,6.04044008,20.4,2.963
Congo - Brazzaville,12267392146.5888,4881.406,0.769,17.46465302,19,3.402
Congo - Kinshasa,50400746171.4239,808.133,0.755,2.79114175,17,3.02
Costa Rica,61801385049.0716,15524.995,0.75,658.5482178,33.6,9.468
Côte d’Ivoire,58539424929.7248,3601.006,NA,20.71104622,18.7,2.933
Croatia,60752588976.3175,22669.797,0.645,843.9278565,44,19.724
Cuba,100023000000,NA,NA,877.4390259,43.1,14.738
Cyprus,24948935408.0376,32415.132,0.801,836.5236816,37.3,13.416
Czechia,250680504529.647,32605.906,0.725,1460.208374,43.3,19.027
Denmark,350104327658.675,46682.515,0.838,5214.660156,42.3,19.677
Djibouti,3324634256.13324,2705.406,0.729,35.12189484,25.4,4.213
Dominica,582403703.703704,9673.367,0.823,318.1081238,NA,NA
Dominican Republic,88941299734.2073,14600.861,NA,204.4960175,27.6,6.981
Ecuador,107435665000,10581.936,0.759,268.4172363,28.1,7.104
Egypt,303092255125.285,10550.206,0.756,36.07154846,25.3,5.159
El Salvador,27022640000,7292.458,0.743,184.2216339,27.6,8.273
Equatorial Guinea,11026774945.3415,22604.873,0.793,62.43690491,22.4,2.846
Eritrea,2065001626.01626,1510.459,0.621,3.70365119,19.3,3.607
Estonia,31471100656.2431,29481.252,0.716,1142.584351,42.7,19.452
Eswatini,4471598726.6436,7738.975,NA,89.12561035,21.5,3.163
Ethiopia,95912590628.1412,1729.927,0.62,5.66122723,19.8,3.526
Fiji,5496250694.31587,8702.975,0.702,146.5606842,28.6,6.224
Finland,269296310180.392,40585.721,0.742,3547.373047,42.8,21.228
France,2715518274227.45,38605.671,0.696,3441.166504,42,19.718
Gabon,16874450215.1351,16562.413,0.719,127.9610519,23.1,4.45
Gambia,1826073739.82522,1561.767,0.771,6.77834558,17.5,2.339
Georgia,17477255545.6705,9745.079,0.687,123.4146042,38.7,14.864
Germany,3861123558039.21,45229.245,0.816,4251.028809,46.6,21.453
Ghana,66983634223.943,4227.63,0.699,30.30209732,21.1,3.385
Greece,209852761132.839,24574.382,0.654,813.7418823,45.3,20.396
Grenada,1210603703.7037,13593.877,0.827,181.2556763,29.4,7.304
Guatemala,76710355347.0968,7423.808,NA,93.48612976,22.9,4.694
Guinea,12296665331.192,1998.926,0.741,6.2994432400000004,19,3.135
Guinea-Bissau,1339449165.48759,1548.675,0.712,4.88268852,19.4,3.002
Guyana,5173759527.57794,7435.047,0.734,182.8688355,26.3,5.305
Haiti,14332163266.3977,1653.173,0.801,7.69670486,24.3,4.8
Honduras,25095395475.0393,4541.795,NA,70.95574188,24.9,4.652
Hong Kong SAR China,365711532816.907,56054.92,0.777,NA,44.8,16.303
Hungary,163469042867.956,26777.561,0.663,747.5319214,43.4,18.577
Iceland,24188038473.5438,46482.958,0.694,5379.646484,37.3,14.431
India,2868929415617.02,6426.674,0.832,19.63145256,28.2,5.989
Indonesia,1119190780752.8,11188.744,0.833,55.08996582,29.3,5.319
Iran,453996479250.212,19082.62,0.705,222.4209595,32.4,5.44
Iraq,234094042938.917,15663.986,0.633,115.2330093,20,3.186
Ireland,388698711348.156,67335.293,0.796,4055.941162,38.7,13.928
Israel,394652210295.849,33132.32,0.777,2150.538818,30.6,11.733
Italy,2003576145498.04,35220.084,0.669,2208.520264,47.9,23.021
Jamaica,16458071067.8176,8193.571,0.775,208.4400177,31.4,9.684
Japan,5081769542379.77,39002.223,0.626,3587.73877,48.2,27.049
Jordan,44502895861.6837,8337.49,0.696,162.3544159,23.2,3.81
Kazakhstan,181665908556.499,24055.588,0.772,167.8211365,30.6,6.991
Kenya,95503088538.092,2993.028,0.745,37.2430191,20,2.686
Kuwait,134628542746.97,65530.537,0.763,1506.605835,33.7,2.345
Kyrgyzstan,8454619607.81795,3393.474,0.681,36.72362518,26.3,4.489
Laos,18173839147.4011,6397.36,0.794,22.10001755,24.4,4.029
Latvia,34102913582.4235,25063.846,0.789,657.7670288,43.9,19.754
Lebanon,51991634491.6345,13367.565,0.819,343.3811646,31.1,8.514
Lesotho,2376328637.26318,2851.153,0.805,72.45595551,22.2,4.506
Liberia,3070518100,752.788,0.727,11.42816257,19.2,3.057
Libya,52091152228.3425,17881.509,0.659,196.1343689,29,4.424
Liechtenstein,6876981286.43011,NA,NA,NA,NA,NA
Lithuania,54627411860.4705,29524.265,0.663,822.8288574,43.5,19.002
Luxembourg,71104919108.1411,94277.965,0.67,5288.111816,39.7,14.312
Madagascar,14114631280.6774,1416.44,0.722,7.87874842,19.6,2.929
Malawi,7666704427.00915,1095.042,0.751,10.25176048,18.1,2.979
Malaysia,364681367531.684,26808.164,0.796,218.6548004,29.9,6.293
Maldives,5642179170.45898,15183.616,0.724,687.5372925,30.6,4.12
Mali,17279566718.6087,2014.306,0.707,9.86327934,16.4,2.519
Malta,14989415684.1203,36513.323,0.64,1747.868408,42.4,19.426
Marshall Islands,221278000,3819.202,NA,279.2547302,NA,NA
Mauritania,7600656943.97506,3597.633,0.681,19.54978752,20.3,3.138
Mauritius,14048430518.5561,20292.745,0.662,281.9010925,37.4,10.945
Mexico,1268870527160.03,17336.469,0.777,260.1742859,29.3,6.857
