country_standard,covid_index,cum_total_cases_per_million,cum_total_deaths_per_million,cum_total_tests_per_thousand,stand_total_cases_per_million,stand_total_deaths_per_million,stand_total_tests_per_thousand,non_na_sum,stand_total_tests_per_thousand_no_NA,incomplete_covid_index
Afghanistan,0.013742326694218671,1435.818,62.962,NA,5.8575074905149584,6.456979684810048,NA,2,1,TRUE
Albania,0.5408716450191758,39905.483,690.111,159.886,8.846137268344593,8.823597800118613,5.848911572157041,3,5.848911572157041,FALSE
Algeria,0.011907942674276336,2615.24,69.006,NA,6.396504403624872,6.547581216181549,NA,2,1,TRUE
Andorra,0.919777877717488,144049.699,1449.557,2036.575,10,9.557171607770927,9.284786520210831,3,9.284786520210831,FALSE
Angola,0.02104255281735808,643.852,15.7,NA,5.13657410596322,5.0841786519234695,NA,2,1,TRUE
Antigua & Barbuda,0.006694201548867725,9006.617,234.866,NA,7.508082196546412,7.758231365866932,NA,2,1,TRUE
Argentina,0.5247484853494194,48006.565,1180.619,144.485,9.012274814896351,9.3543269354131091,5.712147909937504,3,5.712147909937504,FALSE
Armenia,0.60885307955188,59238.656,1092.388,253.52,9.201255541118012,9.277552879382668,6.471366149015696,3,6.471366149015696,FALSE
Australia,0.7445102576049156,1140.79,35.647,569.243,5.650749134261206,5.894695251017424,7.563560438083772,3,7.563560438083772,FALSE
Austria,0.9043521625127596,53508.505,974.418,1818.072,9.109807559180672,9.164594108272967,9.13153929286361,3,9.13153929286361,FALSE
Azerbaijan,0.004625938188672381,23451.119,321.229,NA,8.36828830530349,8.067747383691577,NA,2,1,TRUE
Bahamas,0.0041048632388634,21975.954,470.441,NA,8.309887625609,8.444849421042257,NA,2,1,TRUE
Bahrain,0.9106324776331687,75475.601,279.74,1877.208,9.418999679987962,7.931053816251811,9.174760380396718,3,9.174760380396718,FALSE
Bangladesh,0.27311052419007,3358.474,51.588,25.158,6.62134595015001,6.2600426916151,3.3518577761185604,3,3.3518577761185604,FALSE
Barbados,0.007436247885328989,11667.844,128.753,NA,7.740785773060659,7.1640671869031305,NA,2,1,TRUE
Belarus,0.7215301686405675,31549.674,218.323,526.123,8.634941279348643,7.686036932549719,7.457195619777128,3,7.457195619777128,FALSE
Belgium,0.7881267933416108,68561.806,1928.192,843.395,9.332639327555174,9.83919510346614,8.09439354994569,3,8.09439354994569,FALSE
