country_standard,transparency_index_2019,transparency_index_mean,budget_participation_index,budget_participation_index_noNA,budget_transparency_index,budget_transparency_index_noNA,pandemic_dem_violation_index,covid_index,gdp,gini,gdp_percap,gdp_percap_ppp_covid,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,median_age,aged_65_older
Afghanistan,0.1635696930781351,0.19607113225580125,1,1,0.3333333333333333,0,0.2142857142857143,0.013742326694218671,19291104007.8299,NA,507.103431871987,2156.41948202725,2.57800722,9.64153671,18.6,2.581
Albania,0.5542427118947539,0.5513489831125987,0.5,0,0.6666666666666666,0.5,0.35714285714285715,0.5408716450191758,15279183289.9372,33.2,5353.2448564014,14648.2674019058,148.43656921,376.50137329,38,13.188
Algeria,0.15744256136276646,0.1691869595773262,0,NA,0,NA,0.4285714285714286,0.011907942674276336,171091289782.245,27.6,3973.96407191565,12019.9283559331,168.44966125,633.79882813,29.1,6.211
American Samoa,NA,NA,0,NA,0,NA,NA,NA,636000000,NA,11466.6907058505,NA,NA,NA,NA,NA
Andorra,0.9260964633302091,0.9416751070023047,0,NA,0,NA,NA,0.919777877717488,3154057987.23833,NA,40886.3911648431,NA,1916.98449707,2450.40795898,NA,NA
Angola,0.1895792998912913,0.1499815374823335,0,NA,0,NA,0.35714285714285715,0.02104255281735808,88815697793.303,51.3,2790.72661520665,6965.51137380329,36.73722076,69.06031799,16.8,2.405
Anguilla,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua & Barbuda,0.8793579063063757,0.859200596312422,0,NA,0,NA,NA,0.006694201548867725,1661962962.96296,NA,17112.8211347326,22879.7660938046,485.82119751,780.36248779,32.1,6.933
Argentina,0.8596104303522261,0.8358464077924547,0.5,0,0.6666666666666666,0.5,0.2142857142857143,0.5247484853494194,445445177459.426,41.4,9912.28180859803,23040.2879526544,692.61743164,1221.78161621,31.9,11.198
Armenia,0.5416837621588595,0.4629203416948657,0,NA,0.6666666666666666,0.5,0.2142857142857143,0.60885307955188,13672802157.8324,34.4,4622.73349328671,14257.9624870448,52.11013412,127.96128082,35.7,11.232
Aruba,NA,NA,0,NA,0,NA,NA,NA,3056424581.00559,NA,29007.6930034887,38442.4138382323,NA,NA,NA,NA
Australia,0.9478139936650528,0.9575276007273793,0.5,0,1,1,0.07142857142857144,0.7445102576049156,1396567014733.23,34.4,55060.3261005013,53381.4190051283,3747.02880859,3456.62744141,37.9,15.504
Austria,0.9492299418001536,0.9564711457174482,0,NA,0,NA,0,0.9043521625127596,445075391688.156,29.7,50137.6627762476,60418.0106125251,3892.83129883,4296.74755859,44.4,19.202
Azerbaijan,0.10139867301643422,0.1131713338653096,0.5,0,0.6666666666666666,0.5,0.28571428571428575,0.004625938188672381,48047647058.8235,NA,4793.58701966989,15041.2572872965,43.97441864,168.06996155,32.4,6.018
Bahamas,0.9008099547272568,0.9043806664741729,0,NA,0,NA,NA,0.0041048632388634,13578800000,NA,34863.7420984795,38742.5457547658,1011.08203125,1006.99780273,34.3,8.996
Bahrain,0.11117358893189297,0.21201006025805944,0,NA,0,NA,NA,0.9106324776331687,38574069148.9362,NA,23503.977126673,47002.5493359525,584.89892578,1150.37976074,32.4,2.372
Bangladesh,0.44642979454212023,0.4757407900802968,0,NA,0,NA,0.35714285714285715,0.27311052419007,302571254131.135,32.4,1855.73982408046,4964.09138891893,7.11578894,18.61657524,27.5,5.098
