country_standard,year,median_age,aged_65_older,gdp_per_capita,eiu_overall_score,eiu_electoral,eiu_gov_func,eiu_pol_part,eiu_pol_culture,eiu_civil_liberties,eiu_score_change,eiu_regime_type,ogp_participation_fisc_open,ogp_transparency_fisc_open,ogp_participating,pub_health_exp_percent_gdp,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,aged_70_older,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,cum_eoy_total_cases,cum_eoy_total_deaths,cum_eoy_total_cases_per_million,cum_eoy_total_deaths_per_million,cum_eoy_total_tests,cum_eoy_total_tests_per_thousand,cum_eoy_total_vaccinations,cum_eoy_people_vaccinated,cum_eoy_people_fully_vaccinated,cum_eoy_total_vaccinations_per_hundred,cum_eoy_people_vaccinated_per_hundred,cum_eoy_people_fully_vaccinated_per_hundred,annual_total_cases,annual_total_deaths,annual_total_cases_per_million,annual_total_deaths_per_million,annual_total_tests,annual_total_tests_per_thousand,annual_total_vaccinations,annual_people_vaccinated,annual_people_fully_vaccinated,annual_total_vaccinations_per_hundred,annual_people_vaccinated_per_hundred,annual_people_fully_vaccinated_per_hundred,cum_total_cases,cum_total_deaths,cum_total_cases_per_million,cum_total_deaths_per_million,cum_total_tests,cum_total_tests_per_thousand,cum_total_vaccinations,cum_people_vaccinated,cum_people_fully_vaccinated,cum_total_vaccinations_per_hundred,cum_people_vaccinated_per_hundred,cum_people_fully_vaccinated_per_hundred,cpi_score,ogp_trans_text,ogp_part_text,wgi_voice_and_accountability,wgi_control_of_corruption,wgi_govt_effective,vdem_v2x_libdem,vdem_v2x_partipdem,vdem_v2x_cspart,country_id,vdem_transparent_laws,vdem_accountability_index,vdem_vertical_account,vdem_diagonal_account,vdem_horizontal_account,vdem_corruption_index,vdem_exec_corruption,vdem_public_sector_corruption,iso_code,pandem,panback,fh_global_freedom_score,code.y,percap_domestic_health_expenditure,gdp,gini,wvs_trust_parliament,wvs_trust_gov,wvs_trust_court,wvs_trust_elect,wvs_corruption,afr_int_citizens_can_access_the_results_,afr_int_citizens_have_a_right_to_request,afr_int_citizen_requests_for_public_info,afr_int_citizens_can_access_legislative_,afr_int_senior_officials_of_the_three_br,afr_int_political_parties_are_required_t,afr_int_corruption_is_criminalized_as_a_,afr_int_the_body_bodies_that_investigate,afr_int_civil_servants_who_report_cases_,afr_int_there_is_an_independent_body_bod,afr_int_iso_code,post_covid
Afghanistan,2020,18.6,2.581,1803.987,28.5,34.2,6.4,38.9,25,38.199999999999996,0,Authoritarian,NA,NA,0,NA,27197.25,165.14743589743588,166.7245048859935,1043.238596491228,7.687719298245614,7.060475570032573,698.6491025641026,4.24238141025641,4.28285016286645,26.798978947368422,0.1974701754385965,0.18136482084690553,1.0694604316546763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.62644230769231,38928341,54.422,1.337,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,51526,2191,1323.612,56.283,NA,NA,NA,NA,NA,NA,NA,NA,51526,2191,1323.612,56.283,NA,NA,NA,NA,NA,NA,NA,NA,55514,2427,1426.056,62.345,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1002336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Afghanistan,2021,18.6,2.581,1803.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,54307.02173913043,86.69565217391305,92.65217391304348,2349,5.130434782608695,5.537347826086957,1395.051043478261,2.2270217391304348,2.3801521739130433,60.34167391304348,0.1318695652173913,0.14223913043478262,0.6236363636363637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,38928341,54.422,1.337,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,55514,2427,1426.056,62.345,NA,NA,NA,NA,NA,NA,NA,NA,3988,236,102.44399999999996,6.061999999999998,NA,NA,NA,NA,NA,NA,NA,NA,55514,2427,1426.056,62.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1002336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Albania,2020,38,13.188,11803.431,60.8,70,53.6,44.400000000000006,62.5,73.5,1.9,Flawed democracy,NA,NA,0,NA,12508.536912751679,195.69127516778522,193.59825255972697,298.56418918918916,3.989864864864865,3.957150170648464,4346.562281879194,68.00029530201343,67.27299658703072,103.74734797297297,1.3862905405405406,1.3750546075085324,1.097314487632509,NA,NA,NA,NA,NA,NA,NA,NA,801.0550161812298,64165.68608414239,22.29676699029126,0.27835275080906147,791.1447368421053,0.27488815789473686,0.1822627986348123,7.618088737201365,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.76083601286173,2877800,104.871,8.643,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,58316,1181,20264.091,410.383,247526,86.012,NA,NA,NA,NA,NA,NA,58316,1181,20264.091,410.383,247526,86.012,NA,NA,NA,NA,NA,NA,93850,1567,32611.717,544.513,386761,134.395,1127,689,438,0.04,0.02,0.02,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.179841933333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Albania,2021,38,13.188,11803.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,73579.65217391304,772.4782608695652,740.9068043478261,1339.304347826087,8.391304347826088,8.02795652173913,25568.02147826087,268.4266304347826,257.4559130434783,465.3917826086957,2.915717391304348,2.789608695652174,1.0518181818181818,NA,NA,NA,NA,NA,NA,NA,NA,3315.1190476190477,313062.11904761905,108.78526190476191,1.1519761904761905,3136.3720930232557,1.0898139534883722,0.2255813953488372,4.569767441860465,410.6923076923077,376.9230769230769,219.5,46.77777777777778,44.625,0.014615384615384615,0.013076923076923078,0.01,15.458333333333334,59.18729729729729,2877800,104.871,8.643,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,93850,1567,32611.717,544.513,386761,134.395,1127,689,438,0.04,0.02,0.02,35534,386,12347.626,134.13000000000005,139235,48.38300000000001,NA,NA,NA,NA,NA,NA,93850,1567,32611.717,544.513,386761,134.395,1127,689,438,0.04,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.179841933333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Algeria,2020,29.1,6.211,13913.839,37.7,30.8,25,44.400000000000006,50,38.199999999999996,-2.4,Authoritarian,NA,NA,0,NA,34030.14469453376,320.2893890675241,322.1671045751634,1280.6983050847457,9.342372881355931,8.942562091503268,776.0395659163987,7.304022508038585,7.346866013071895,29.205654237288137,0.2130135593220339,0.20391503267973857,1.0818245614035087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76771704180064,43851043,17.348,3.857,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,99610,2756,2271.554,62.849,NA,NA,NA,NA,NA,NA,NA,NA,99610,2756,2271.554,62.849,NA,NA,NA,NA,NA,NA,NA,NA,110894,2943,2528.879,67.114,NA,NA,30,NA,NA,0,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.111828266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0,25,NA,NA,NA,0,NA,NA,DZA,TRUE
Algeria,2021,29.1,6.211,13913.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,105470.73913043478,245.30434782608697,253.8013043478261,2858.891304347826,4.065217391304348,4.267065217391305,2405.2047608695652,5.594043478260869,5.787782608695652,65.19545652173913,0.09260869565217392,0.09726086956521739,0.8604545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,30,30,0,NA,NA,1,72.22,43851043,17.348,3.857,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,110894,2943,2528.879,67.114,NA,NA,30,NA,NA,0,NA,NA,11284,187,257.3249999999998,4.265000000000008,NA,NA,NA,NA,NA,NA,NA,NA,110894,2943,2528.879,67.114,NA,NA,30,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.111828266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Andorra,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2238.760655737705,26.39016393442623,26.287656666666667,54.357894736842105,0.29473684210526313,0.27814,28975.09417704918,341.55388852459015,340.22672,703.5253824561404,3.814561403508772,3.59929,0.9437676056338028,NA,NA,NA,NA,NA,NA,NA,NA,NA,91790.33333333333,1187.9940000000001,NA,832,10.768125,0.087625,11.5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.09091803278689,77265,163.755,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,8049,84,104173.947,1087.168,97416,1260.804,NA,NA,NA,NA,NA,NA,8049,84,104173.947,1087.168,97416,1260.804,NA,NA,NA,NA,NA,NA,10538,107,136387.756,1384.844,148604,1923.303,1291,1291,NA,1.67,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Andorra,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9419.826086956522,54.108695652173914,55.20813043478261,95.21739130434783,0.5,0.4999347826086956,121915.82332608696,700.3001739130435,714.5288913043478,1232.3483478260869,6.471065217391304,6.47145652173913,1.1118181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,137788.5,1783.3236666666667,NA,625.2758620689655,8.092620689655172,0.10010344827586207,10.551724137931034,967.6666666666666,967.6666666666666,NA,NA,51.75,1.2533333333333334,1.2533333333333334,NA,669.625,53.822500000000005,77265,163.755,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,10538,107,136387.756,1384.844,148604,1923.303,1291,1291,NA,1.67,1.67,NA,2489,23,32213.808999999994,297.67600000000016,51188,662.499,NA,NA,NA,NA,NA,NA,10538,107,136387.756,1384.844,148604,1923.303,1291,1291,NA,1.67,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Angola,2020,16.8,2.405,5819.495,36.6,22.5,28.599999999999998,55.599999999999994,50,26.5,-0.6,Authoritarian,NA,NA,0,NA,4680.871080139373,61.1602787456446,61.36271276595745,132.4388489208633,1.4568345323741008,1.4235425531914894,142.42175609756097,1.8608745644599303,1.8670283687943263,4.029676258992806,0.044255395683453234,0.04332978723404255,1.0902941176470589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3269337979094,32866268,23.89,1.362,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,17553,405,534.073,12.323,NA,NA,NA,NA,NA,NA,NA,NA,17553,405,534.073,12.323,NA,NA,NA,NA,NA,NA,NA,NA,20381,493,620.119,15,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,0,NA,NA,NA,25,NA,NA,AGO,TRUE
Angola,2021,16.8,2.405,5819.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19179.239130434784,61.47826086956522,64.79195652173912,449.45652173913044,1.9130434782608696,1.8882391304347825,583.5538695652174,1.8705652173913043,1.9713913043478262,13.675413043478262,0.058130434782608695,0.057456521739130434,1.0336363636363637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,32866268,23.89,1.362,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,20381,493,620.119,15,NA,NA,NA,NA,NA,NA,NA,NA,2828,88,86.04600000000005,2.6769999999999996,NA,NA,NA,NA,NA,NA,NA,NA,20381,493,620.119,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
