country_standard,year,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,cum_eoy_total_cases,cum_eoy_total_deaths,cum_eoy_total_cases_per_million,cum_eoy_total_deaths_per_million,cum_eoy_total_tests,cum_eoy_total_tests_per_thousand,cum_eoy_total_vaccinations,cum_eoy_people_vaccinated,cum_eoy_people_fully_vaccinated,cum_eoy_total_vaccinations_per_hundred,cum_eoy_people_vaccinated_per_hundred,cum_eoy_people_fully_vaccinated_per_hundred,annual_total_cases,annual_total_deaths,annual_total_cases_per_million,annual_total_deaths_per_million,annual_total_tests,annual_total_tests_per_thousand,annual_total_vaccinations,annual_people_vaccinated,annual_people_fully_vaccinated,annual_total_vaccinations_per_hundred,annual_people_vaccinated_per_hundred,annual_people_fully_vaccinated_per_hundred,cum_total_cases,cum_total_deaths,cum_total_cases_per_million,cum_total_deaths_per_million,cum_total_tests,cum_total_tests_per_thousand,cum_total_vaccinations,cum_people_vaccinated,cum_people_fully_vaccinated,cum_total_vaccinations_per_hundred,cum_people_vaccinated_per_hundred,cum_people_fully_vaccinated_per_hundred,eiu_overall_score,eiu_electoral,eiu_gov_func,eiu_pol_part,eiu_pol_culture,eiu_civil_liberties,eiu_score_change,eiu_regime_type,cpi_score,ogp_participation_fisc_open,ogp_transparency_fisc_open,ogp_participating,ogp_trans_text,ogp_part_text,code,wgi_voice_and_accountability,wgi_control_of_corruption,wgi_govt_effective,vdem_v2x_libdem,vdem_v2x_partipdem,vdem_v2x_cspart,country_id,vdem_transparent_laws,vdem_accountability_index,vdem_vertical_account,vdem_diagonal_account,vdem_horizontal_account,vdem_corruption_index,vdem_exec_corruption,vdem_public_sector_corruption,iso_code,pandem,panback,fh_global_freedom_score,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,gdp,gdp_percap,gdp_percap_ppp,gini,wvs_trust_parliament,wvs_trust_gov,wvs_trust_court,wvs_trust_elect,wvs_corruption,afr_int_citizens_can_access_the_results_,afr_int_citizens_have_a_right_to_request,afr_int_citizen_requests_for_public_info,afr_int_citizens_can_access_legislative_,afr_int_senior_officials_of_the_three_br,afr_int_political_parties_are_required_t,afr_int_corruption_is_criminalized_as_a_,afr_int_the_body_bodies_that_investigate,afr_int_civil_servants_who_report_cases_,afr_int_there_is_an_independent_body_bod,afr_int_iso_code,post_covid
Afghanistan,2020,27197.25,165.14743589743588,166.7245048859935,1043.238596491228,7.687719298245614,7.060475570032573,698.6491025641026,4.24238141025641,4.28285016286645,26.798978947368422,0.1974701754385965,0.18136482084690553,1.0691726618705035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.62644230769231,38928341,54.422,18.6,2.581,1.337,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,51526,2191,1323.612,56.283,NA,NA,NA,NA,NA,NA,NA,NA,51526,2191,1323.612,56.283,NA,NA,NA,NA,NA,NA,NA,NA,55894,2451,1435.818,62.962,NA,NA,NA,NA,NA,NA,NA,NA,28.5,34.2,6.4,38.9,25,38.199999999999996,0,Authoritarian,19,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1002336,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Albania,2020,12508.536912751679,195.69127516778522,193.59825255972697,298.56418918918916,3.989864864864865,3.957150170648464,4346.562281879194,68.00029530201343,67.27299658703072,103.74734797297297,1.3862905405405406,1.3750546075085324,1.097844522968198,NA,NA,NA,NA,NA,NA,NA,NA,801.0550161812298,64165.68608414239,22.29676699029126,0.27835275080906147,791.1447368421053,0.27488815789473686,0.1822627986348123,7.618088737201365,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.76083601286173,2877800,104.871,38,13.188,8.643,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,58316,1181,20264.091,410.383,247526,86.012,NA,NA,NA,NA,NA,NA,58316,1181,20264.091,410.383,247526,86.012,NA,NA,NA,NA,NA,NA,114840,1986,39905.483,690.111,460120,159.886,15793,6073,655,0.55,0.21,0.02,60.8,70,53.6,44.400000000000006,62.5,73.5,1.9,Flawed democracy,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.179841933333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Algeria,2020,34030.14469453376,320.2893890675241,322.1671045751634,1280.6983050847457,9.342372881355931,8.942562091503268,776.0395659163987,7.304022508038585,7.346866013071895,29.205654237288137,0.2130135593220339,0.20391503267973857,1.0811228070175438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76771704180064,43851043,17.348,29.1,6.211,3.857,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,99610,2756,2271.554,62.849,NA,NA,NA,NA,NA,NA,NA,NA,99610,2756,2271.554,62.849,NA,NA,NA,NA,NA,NA,NA,NA,114681,3026,2615.24,69.006,NA,NA,75000,NA,NA,0.17,NA,NA,37.7,30.8,25,44.400000000000006,50,38.199999999999996,-2.4,Authoritarian,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.111828266666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0,25,NA,NA,NA,0,NA,NA,DZA,TRUE
Andorra,2020,2238.760655737705,26.39016393442623,26.287656666666667,54.357894736842105,0.29473684210526313,0.27814,28975.09417704918,341.55388852459015,340.22672,703.5253824561404,3.814561403508772,3.59929,0.9397183098591549,NA,NA,NA,NA,NA,NA,NA,NA,NA,91790.33333333333,1187.9940000000001,NA,832,10.768125,0.087625,11.5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.09091803278689,77265,163.755,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,8049,84,104173.947,1087.168,97416,1260.804,NA,NA,NA,NA,NA,NA,8049,84,104173.947,1087.168,97416,1260.804,NA,NA,NA,NA,NA,NA,11130,112,144049.699,1449.557,157356,2036.575,2526,2526,NA,3.27,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Angola,2020,4680.871080139373,61.1602787456446,61.36271276595745,132.4388489208633,1.4568345323741008,1.4235425531914894,142.42175609756097,1.8608745644599303,1.8670283687943263,4.029676258992806,0.044255395683453234,0.04332978723404255,1.0825980392156862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3269337979094,32866268,23.89,16.8,2.405,1.362,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,17553,405,534.073,12.323,NA,NA,NA,NA,NA,NA,NA,NA,17553,405,534.073,12.323,NA,NA,NA,NA,NA,NA,NA,NA,21161,516,643.852,15.7,NA,NA,NA,NA,NA,NA,NA,NA,36.6,22.5,28.599999999999998,55.599999999999994,50,26.5,-0.6,Authoritarian,27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.1771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,0,NA,NA,NA,25,NA,NA,AGO,TRUE
Antigua & Barbuda,2020,77.89795918367346,0.5408163265306123,0.540318339100346,3.2118959107806693,0.01858736059479554,0.017318339100346018,795.4615136054422,5.52262925170068,5.5172110726643595,32.7987063197026,0.18981412639405204,0.17669550173010382,0.508421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97928,231.845,32.1,6.933,4.631,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,159,5,1623.642,51.058,NA,NA,NA,NA,NA,NA,NA,NA,159,5,1623.642,51.058,NA,NA,NA,NA,NA,NA,NA,NA,882,23,9006.617,234.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Argentina,2020,487948.7532894737,5347.085526315789,5335.98804013378,12718.481605351171,144.63210702341138,143.2713745819398,10796.335092105262,118.30939473684211,118.06388294314381,281.4086053511706,3.2001304347826087,3.1700133779264212,1.163951048951049,NA,NA,NA,NA,NA,NA,NA,NA,12309.693641618496,1163280.7369942197,25.73870520231214,0.27238150289017343,11585.526462395543,0.25633704735376045,0.2925384615384615,5.2618729096989965,16356.5,NA,NA,NA,15656,0.035,NA,NA,346,71.33516393442623,45195777,16.177,31.9,11.198,7.441,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,1625514,43245,35966.059,956.837,4259154,94.238,32013,NA,NA,0.07,NA,NA,1625514,43245,35966.059,956.837,4259154,94.238,32013,NA,NA,0.07,NA,NA,2169694,53359,48006.565,1180.619,6530106,144.485,1774438,1424984,349454,3.93,3.15,0.77,69.5,91.7,53.6,66.7,56.3,79.4,-0.7,Flawed democracy,42,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1397034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Armenia,2020,47559.075163398695,520.9444444444445,525.1409667774086,884.5231316725979,10.04626334519573,9.233495016611295,16049.719689542484,175.80266013071895,177.21885714285713,298.4992384341637,3.3902419928825624,3.1160166112956813,1.0995121951219513,NA,NA,NA,NA,NA,NA,NA,NA,1250.2903225806451,191200.72277227722,64.52431683168317,0.42193548387096774,2010.109965635739,0.6783230240549828,0.23031271477663232,6.3164948453608245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963234,102.931,35.7,11.232,7.571,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,159409,2823,53795.617,952.675,585057,197.439,NA,NA,NA,NA,NA,NA,159409,2823,53795.617,952.675,585057,197.439,NA,NA,NA,NA,NA,NA,175538,3237,59238.656,1092.388,751240,253.52,NA,NA,NA,NA,NA,NA,53.5,75,50,61.1,31.299999999999997,50,-1.9,Hybrid regime,49,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.0460238,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Australia,2020,14930.275659824047,83.35777126099707,84.38475892857143,434.4575163398693,2.9705882352941178,2.704544642857143,585.5037302052785,3.2689442815249268,3.3092172619047617,17.037614379084967,0.11646732026143791,0.10605059523809524,1.0446283783783783,NA,NA,NA,NA,NA,NA,NA,NA,39167.66336633663,4665156.583333333,182.94817543859648,1.5359851485148515,39374.6582733813,1.544089928057554,0.002798561151079137,1714.2003597122302,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.932346041055716,25499881,3.202,37.9,15.504,10.129,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,28425,909,1114.711,35.647,11260636,441.596,NA,NA,NA,NA,NA,NA,28425,909,1114.711,35.647,11260636,441.596,NA,NA,NA,NA,NA,NA,29090,909,1140.79,35.647,14515635,569.243,106200,106200,NA,0.42,0.42,NA,89.60000000000001,100,85.7,77.8,87.5,97.10000000000001,-1.3,Full democracy,77,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0110986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Austria,2020,71216.7652733119,1160.1768488745981,1157.3132810457516,1208.2881355932204,21.091525423728815,19.54618954248366,7907.350909967846,128.816961414791,128.49899673202614,134.15885423728812,2.3418135593220337,2.1702385620915035,1.1419463087248323,179.71636363636364,19.954327272727273,889.9163636363636,98.80934181818182,NA,NA,NA,NA,13941.919708029198,1367945.56,151.88593818181818,1.5480255474452556,13758.317164179105,1.5276231343283582,0.05687313432835821,64.83171641791044,3212.8,3212.8,NA,1061.5,1302.75,0.034,0.034,NA,144.75,54.75559485530547,9006400,106.749,44.4,19.202,13.748,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,360815,6222,40062.067,690.842,3836920,426.021,4925,4925,NA,0.05,0.05,NA,360815,6222,40062.067,690.842,3836920,426.021,4925,4925,NA,0.05,0.05,NA,481919,8776,53508.505,974.418,16374288,1818.072,860142,608045,252097,9.55,6.75,2.8,81.6,95.8,75,83.3,68.8,85.3,-1.3,Full democracy,76,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
